Name,RA,Dec,l,b,Peak mag,Peak time,Disc date,Type,PS prob,Redshift,MW E(B-V)
10AYSEamb,161.873381235511,-1.91803363616088,252.187395154008,48.3562351859589,21.1284,2020-01-23 13:45:12.660000,2020-01-23 00:00:00,None,,,0.04
10AYSEalm,161.273751022444,-1.09600642870442,250.67582797632576,48.52824727522923,20.3292,2020-01-23 13:45:12.660000,2020-01-23 00:00:00,None,,,0.04
10AYSEamc,149.46011349917802,4.16665617228027,234.12998836195476,42.69310356869869,20.5349,2020-01-23 13:50:18.475000,2020-01-23 00:00:00,None,,,0.03
10AYSEale,149.798057394562,4.91186353642287,233.533873035633,43.385204492280515,20.9638,2020-01-23 13:50:55.815000,2020-01-23 00:00:00,None,,,0.033
10AYSEaly,149.425849248296,7.35413549776213,230.3928911829322,44.37360487868191,20.519000000000002,2020-01-23 13:50:55.815000,2020-01-23 00:00:00,None,,,0.026000000000000002
10AYSEals,152.52778065797,3.1648594620888706,237.68353438378531,44.634919006171145,20.4509,2020-01-23 13:51:34.317000,2020-01-23 00:00:00,None,,,0.021
10AYSEali,152.53593332964198,3.13535972917693,237.72380068587773,44.62417986148668,19.9866,2020-01-23 13:51:34.317000,2020-01-23 00:00:00,None,,,0.022000000000000002
10AYSEalz,152.549964741407,3.0734783511680197,237.80568600841417,44.599128721914646,19.9986,2020-01-23 13:51:34.317000,2020-01-23 00:00:00,None,,,0.024
10AYSEala,152.70806260997,2.54456369815889,238.53450573233746,44.41332876563973,20.6445,2020-01-23 13:51:34.317000,2020-01-23 00:00:00,None,,,0.034
10AYSEalo,152.521489108284,6.28910572411083,234.00988772205324,46.40667054432091,20.603,2020-01-23 13:52:11.303000,2020-01-23 00:00:00,None,,,0.018000000000000002
10AYSEalc,152.536164127403,6.287450257520501,234.02352130552097,46.417946876700476,20.3178,2020-01-23 13:52:11.303000,2020-01-23 00:00:00,None,,,0.018000000000000002
10AYSEalw,152.818008430296,5.282205111006831,235.45683809373432,46.09091619514852,21.1408,2020-01-23 13:52:11.303000,2020-01-23 00:00:00,None,,,0.021
10AYSEalb,152.654355583263,7.00208522036844,233.2440518877772,46.906130596767,20.8738,2020-01-23 13:52:11.303000,2020-01-23 00:00:00,None,,,0.02
10AYSEakq,155.940548808539,2.07702402719497,241.88162649369198,46.68489757282557,20.9767,2020-01-23 13:52:49.600000,2020-01-23 00:00:00,None,,,0.040999999999999995
2020aou,192.729257986968,3.7589813413377593,302.60433978783306,66.63039761656111,20.63,2020-01-23 15:18:43,2020-01-23 00:00:00,None,,,0.025
2020aos,191.36460136627602,5.5446104902184805,298.8926827001197,68.36944971497297,20.71,2020-01-23 15:18:23.349000,2020-01-23 00:00:00,None,,,0.021
10AYSEakv,192.79217590722402,6.8410517443275,302.7392007588828,69.71269859059278,20.4152,2020-01-23 15:19:41.319000,2020-01-23 00:00:00,None,,,0.027999999999999997
10AYSEakz,196.648938697962,2.96468699870561,312.1133393496295,65.56586365616572,20.5095,2020-01-23 15:20:21.235000,2020-01-23 00:00:00,None,,,0.024
10AYSEaks,195.827157771068,6.85741752894903,311.3856520768139,69.53408930286841,20.2703,2020-01-23 15:20:58.665000,2020-01-23 00:00:00,None,,,0.027999999999999997
10AYSEakw,195.871213710922,6.239480670438519,311.2799727823444,68.9157392116169,20.3938,2020-01-19 14:39:21.178000,2020-01-23 00:00:00,None,,,0.027999999999999997
2020aot,195.89899615266202,5.44213417853075,311.0754426429135,68.12143619000207,20.46,2020-01-23 15:20:58.665000,2020-01-23 00:00:00,None,,,0.027999999999999997
2020awv,201.157096253307,31.8321953116115,67.99783240403158,81.38469815531533,20.9973,2020-01-23 15:26:50.254000,2020-01-25 00:00:00,None,,,0.016
10AYSEahn,206.90918611493697,31.839993668526002,57.37314879233585,76.90688508557274,20.1938,2019-04-27 05:12:12.004000,2020-01-21 00:00:00,None,,,0.011000000000000001
10AYSEaky,209.82863482642202,31.8480330628208,54.72919075057054,74.51368918504612,20.4211,2020-01-18 15:38:59.359000,2020-01-23 00:00:00,None,,,0.013000000000000001
2020amg,204.90635656464298,30.8059135889543,55.02556012144022,78.84460519913083,19.9059,2020-01-08 13:24:57,2020-01-23 00:00:00,None,,,0.013999999999999999
10AYSEakt,209.829889045825,31.659287554407502,54.038767087164096,74.55529450724438,20.4294,2020-01-23 15:29:31.735000,2020-01-23 00:00:00,None,,,0.013000000000000001
2020axb,143.2228,72.3849305555556,139.83289670820304,37.519340776500975,20.2416934967041,2020-01-23 05:20:29,2020-01-23 05:20:29,None,0.0,,0.0425
2020aqv,47.348120833333304,38.2262166666667,150.66877084348468,-17.10473242500011,18.558,2020-01-24 06:23:02,2020-01-24 06:23:02,None,,,0.1508
2020ban,136.17160833333298,33.7291444444444,190.57124131888617,41.2768882151985,20.071668624877898,2020-01-23 05:26:21,2020-01-23 05:26:21,None,0.001,,0.0219
2020arc,48.805216208836,-3.32725839379991,184.53107870355845,-48.22449209237652,20.6745,2020-01-01 06:51:50,2020-01-24 00:00:00,None,,,0.077
2020aqw,52.20150710290461,-4.21911949762379,188.57543713403592,-46.052561540613524,19.8526,2020-01-21 05:24:00,2020-01-24 00:00:00,None,,,0.031
2020arb,52.466835624630605,-1.90181201324884,186.15225596225852,-44.46148756543482,20.7477,2020-01-01 06:57:36,2020-01-24 00:00:00,None,,,0.05
10AYSEaqe,55.1847629094938,-1.10734603637207,187.51826469320957,-41.8119350886438,21.0801,2020-01-24 06:53:26.869000,2020-01-24 00:00:00,None,,,0.105
10AYSEaqj,49.9724883823894,-5.493241980531269,188.19237635217806,-48.59985957907665,20.9732,2020-01-24 06:50:17.901000,2020-01-24 00:00:00,None,,,0.039
10AYSEamv,49.0681235761873,-4.02281923778442,185.59878674421813,-48.445529119114354,20.6862,2020-01-24 06:50:17.901000,2020-01-24 00:00:00,None,,,0.07400000000000001
10AYSEamz,49.16301616434,-4.16316971035665,185.85354267290268,-48.455822356490245,20.108,2020-01-24 06:50:17.901000,2020-01-24 00:00:00,None,,,0.062
10AYSEamu,49.029200004716394,-3.9845682264398503,185.51737771921984,-48.452951792375444,21.0985,2020-01-24 06:50:17.901000,2020-01-24 00:00:00,None,,,0.076
10AYSEaqg,49.1831017399418,-1.10567283021306,182.33980765920128,-46.52832694054805,20.5984,2020-01-24 06:50:56.327000,2020-01-24 00:00:00,None,,,0.049
10AYSEanb,48.768798782603206,-0.453297591445367,181.22847980232916,-46.42123701780873,20.9056,2020-01-24 06:50:56.327000,2020-01-24 00:00:00,None,,,0.06
10AYSEamx,49.8682918071383,-2.24794035001905,184.25861833689882,-46.72168061483756,20.1713,2020-01-24 06:50:56.327000,2020-01-24 00:00:00,None,,,0.065
10AYSEaql,52.503094290819796,-3.98089022054313,188.5490484480554,-45.66927937166968,21.1905,2020-01-24 06:51:34.252000,2020-01-24 00:00:00,None,,,0.033
10AYSEaqn,52.0669256575555,-4.54171800506308,188.84222757394124,-46.349174779596794,20.7778,2020-01-24 06:51:34.252000,2020-01-24 00:00:00,None,,,0.035
10AYSEaqm,52.257027050069,-2.31972248265133,186.44165500346926,-44.88131307224199,20.6586,2020-01-21 05:21:28.807000,2020-01-24 00:00:00,None,,,0.054000000000000006
10AYSEamw,51.7692535801486,-0.276521082978948,183.76730228160966,-44.005255395173286,20.9644,2020-01-24 06:52:11.229000,2020-01-24 00:00:00,None,,,0.098
10AYSEamt,52.43917126642071,-2.4466519254036,186.7391682477102,-44.812489312614744,20.7653,2020-01-24 06:52:11.229000,2020-01-24 00:00:00,None,,,0.049
10AYSEana,55.37264211365721,-1.1304103246865,187.69263257054388,-41.67449219210155,20.4394,2020-01-24 06:53:26.869000,2020-01-24 00:00:00,None,,,0.09699999999999999
10AYSEams,55.322359900989596,-1.0329868841637702,187.5477362914087,-41.65710638905315,20.5598,2020-01-24 06:53:26.869000,2020-01-24 00:00:00,None,,,0.092
10AYSEamr,55.399985651441796,-1.1801402319757601,187.7679541838854,-41.68194704981073,20.3273,2020-01-24 06:53:26.869000,2020-01-24 00:00:00,None,,,0.10099999999999999
2020asp,144.03254166666702,37.713325,185.66251891592705,47.939124219373035,17.3856182098389,2020-01-23 10:09:57,2020-01-23 10:09:57,None,0.005,,0.0127
2020bbo,120.488458333333,47.8433833333333,171.37320650714364,31.260335153914937,19.218,2020-01-24 10:03:21,2020-01-24 10:03:21,None,0.0,,0.0383
10AYSEapg,133.885106902745,0.491718948603812,227.79273092744972,27.55599716509577,20.1712,2020-01-24 10:12:55.722000,2020-01-24 00:00:00,None,,,0.046
10AYSEapj,132.663754498785,0.552447071846279,227.0382460287308,26.53436598137856,20.21,2020-01-24 10:12:55.722000,2020-01-24 00:00:00,None,,,0.037000000000000005
10AYSEaou,132.65966296253,0.581366144114102,227.00803264567776,26.545431806512454,20.2589,2020-01-24 10:12:55.722000,2020-01-24 00:00:00,None,,,0.037000000000000005
2020awp,186.98723333333302,62.493313888888906,127.59039277144939,54.42197200938666,20.2922420501709,2020-01-23 12:19:53,2020-01-23 12:19:53,None,0.156,,0.015
10AYSEapy,136.874343021824,-6.15074239707491,235.8819207463033,26.4965680498601,20.1823,2020-01-24 10:13:33.094000,2020-01-24 00:00:00,None,,,0.022000000000000002
10AYSEapt,136.017174517118,-5.83727672133986,235.0581296674163,25.968410538543445,20.6445,2020-01-24 10:13:33.094000,2020-01-24 00:00:00,None,,,0.026000000000000002
10AYSEapf,137.76844400112898,-6.0110856253261105,236.31960927226436,27.307494748233708,20.5362,2020-01-24 10:13:33.094000,2020-01-24 00:00:00,None,,,0.027999999999999997
10AYSEaqc,137.036292999109,0.45251766454661496,229.69003150897512,30.23416997749922,20.334,2020-01-24 10:14:10.493000,2020-01-24 00:00:00,None,,,0.031
10AYSEapu,139.372228851576,-6.12572448012307,237.46433780079985,28.545891222823453,20.1684,2020-01-20 12:20:47.716000,2020-01-24 00:00:00,None,,,0.027999999999999997
10AYSEapi,140.393121224765,-6.1291110585491,238.14445982338503,29.368224750313317,20.1621,2020-01-24 10:14:48.743000,2020-01-24 00:00:00,None,,,0.023
10AYSEapo,144.141125031694,-11.3820631220962,245.5002496977718,29.054591861060345,20.916999999999998,2020-01-24 10:21:31.642000,2020-01-24 00:00:00,None,,,0.033
10AYSEapr,144.630459154246,-11.586779089465198,246.03410485854158,29.28820466246214,20.034000000000002,2020-01-24 10:21:31.642000,2020-01-24 00:00:00,None,,,0.040999999999999995
10AYSEaqb,147.653382502303,-11.602795806363002,248.31486232422148,31.501797275560122,20.4533,2020-01-24 10:22:45.727000,2020-01-24 00:00:00,None,,,0.037000000000000005
10AYSEapx,147.765891841399,-11.5779504237144,248.38020778200888,31.6001017551196,20.6735,2020-01-24 10:22:45.727000,2020-01-24 00:00:00,None,,,0.037000000000000005
10AYSEapw,147.611668502774,-8.31245372085137,245.35401901473844,33.64764663635133,20.7375,2020-01-20 12:32:09.518000,2020-01-24 00:00:00,None,,,0.035
10AYSEapp,146.680128007049,-8.45981471774923,244.77438658819995,32.85011537270424,20.1546,2020-01-24 10:23:23.122000,2020-01-24 00:00:00,None,,,0.025
10AYSEaqd,150.97418296788499,-11.5912102353457,250.9532074196899,33.87953076109428,20.1837,2020-01-24 10:24:00.293000,2020-01-24 00:00:00,None,,,0.064
10AYSEapz,149.735807057381,-11.584157865462698,249.93910570269446,33.010187738728135,20.4894,2020-01-24 10:24:00.293000,2020-01-24 00:00:00,None,,,0.052000000000000005
10AYSEape,150.739598132985,-11.6207706294734,250.78584162990467,33.69425279928772,20.8549,2020-01-24 10:24:00.293000,2020-01-24 00:00:00,None,,,0.062
10AYSEapq,150.833746744974,-11.633632386543901,250.87421504837448,33.75140726799581,20.5895,2020-01-24 10:24:00.293000,2020-01-24 00:00:00,None,,,0.059000000000000004
2020ara,150.91721140438,-11.824693966686098,251.1072202165855,33.67645707744244,20.5929,2020-01-18 13:57:31.024000,2020-01-24 00:00:00,None,,,0.051
10AYSEapk,150.799915575319,-8.52230758620991,248.09444924200727,35.86661383335349,20.0603,2020-01-24 10:24:37.313000,2020-01-24 00:00:00,None,,,0.06
10AYSEapn,151.387810166546,-8.35178263886503,248.42847243894914,36.40928390290367,20.9787,2020-01-24 10:24:37.313000,2020-01-24 00:00:00,None,,,0.049
2020bhj,223.01647916666698,62.236555555555604,101.74934131827214,49.636793270348086,20.0537338256836,2020-01-16 11:21:59,2020-01-16 11:21:59,None,,,0.0165
2020atb,235.37002083333303,73.7502083333333,108.96723946918955,38.41473155041365,19.8301734924316,2020-01-16 11:46:20,2020-01-16 11:46:20,None,0.049,,0.0309
10AYSEapc,190.322466325229,12.604958498252401,293.14146378281885,75.28345993178844,20.8899,2020-01-24 14:29:24.818000,2020-01-24 00:00:00,None,,,0.034
10AYSEapa,188.299028547398,10.230507606412699,287.79449812090553,72.56397616818025,20.314,2020-01-24 14:30:05.349000,2020-01-24 00:00:00,None,,,0.027999999999999997
10AYSEagt,189.356481912663,9.65034367588667,291.5601128644993,72.21201995658053,20.2125,2020-01-20 13:39:31.219000,2020-01-20 00:00:00,None,,,0.019
2020apu,190.320812192392,8.95385135090666,294.9355707353939,71.66776549020304,19.4888,2020-01-20 13:39:21,2020-01-20 00:00:00,None,,,0.021
10AYSEaot,184.202459167336,10.2413491931496,275.5004897031388,71.24498535042757,20.576999999999998,2020-01-24 14:30:49.049000,2020-01-24 00:00:00,None,,,0.022000000000000002
10AYSEaoy,187.376698977816,12.3442906809519,282.6918185712785,74.34782054802136,20.0997,2020-01-24 14:39:09.591000,2020-01-24 00:00:00,None,,,0.021
10AYSEapb,188.230938774303,12.362680682987198,285.65354118933647,74.6099674808372,20.5296,2020-01-24 14:39:09.591000,2020-01-24 00:00:00,None,,,0.025
10AYSEaoz,188.635538731481,12.233856948057802,287.2169231752481,74.58777667541102,20.6228,2020-01-24 14:39:09.591000,2020-01-24 00:00:00,None,,,0.031
10AYSEavh,187.94151484002398,8.786731969012099,287.78697637599515,71.07777179559763,19.756,2020-01-24 14:41:08.778000,2020-01-27 00:00:00,None,,,0.016
2020aem,267.09491666666696,54.151488888888906,81.95284162808149,30.744639865185114,17.743,2020-01-18 12:51:34,2020-01-18 12:51:34,None,,,0.0342
2020atq,102.323416666667,62.5133583333333,153.17846940844052,23.61998065349432,19.473819732665998,2020-01-11 05:48:57.001000,2020-01-16 04:00:18,None,0.003,,0.1057
10AYSEafy,116.596092008163,39.0362586407445,180.6630508460549,26.82959615089555,19.624002456665,2020-01-19 10:08:41.041000,2020-01-19 00:00:00,None,,,0.0447
